treatment,output,code_number_tokens,code_complexity,code_num_identifiers,code_num_strings,code_num_comments,docstring_num_lines,docstring_num_words,docstring_num_sentences
1,0,17,2,0,1,0,1,11,1
1,0,86,7,5,2,0,1,6,1
0,0,19,3,1,1,0,1,8,1
0,1,6,1,1,0,0,1,14,2
1,0,31,6,2,1,0,1,5,1
1,0,426,1,11,59,0,1,9,2
0,1,28,1,6,0,0,1,8,1
0,1,31,2,8,3,0,1,31,4
0,0,32,5,1,5,0,1,10,0
0,1,27,1,5,1,0,1,40,3
1,0,69,9,4,11,0,1,9,1
0,0,10,1,4,0,0,1,20,1
0,0,16,3,1,0,0,1,7,1
0,1,19,3,1,0,0,1,11,1
1,1,12,2,1,0,0,1,52,2
0,0,81,7,10,6,0,1,28,4
0,0,64,4,2,3,0,1,7,1
1,1,7,1,3,2,0,1,12,1
1,0,13,1,0,1,0,1,6,0
0,1,26,2,2,4,0,1,8,1
0,1,36,7,3,0,0,1,23,2
1,1,49,4,6,0,0,1,19,1
1,1,90,8,6,0,0,1,15,1
1,0,29,4,5,0,0,1,6,1
0,0,8,2,0,0,0,1,5,0
1,1,9,1,2,0,0,1,7,0
0,0,70,7,4,5,0,1,39,2
0,0,10,1,2,0,0,1,64,4
1,1,32,1,2,5,0,1,9,1
1,1,20,3,1,3,0,1,7,1
0,0,60,6,3,7,0,1,6,0
1,0,112,14,10,1,0,1,6,0
0,1,42,3,2,4,0,1,17,2
0,0,14,2,1,0,0,1,6,1
0,0,30,3,1,4,0,1,7,0
0,1,39,2,1,5,0,1,9,1
1,0,26,3,0,0,0,1,14,1
1,0,85,14,5,0,0,1,5,1
0,0,36,1,14,0,0,1,5,0
0,0,23,3,4,0,0,1,4,1
0,0,37,5,1,1,0,1,25,1
0,1,65,2,9,0,0,1,17,1
1,0,20,1,3,2,0,1,9,1
0,0,16,2,0,1,0,1,16,4
0,0,11,1,4,0,0,1,14,2
0,0,19,1,4,0,0,1,9,1
0,1,22,3,3,0,0,1,14,1
0,0,21,1,5,3,0,1,6,1
1,1,26,3,2,0,0,1,23,0
1,0,101,9,13,2,0,1,8,0
1,0,35,3,3,4,0,1,12,1
0,1,15,1,4,0,0,1,10,1
1,1,39,4,6,3,0,1,6,0
1,0,19,1,2,0,0,1,10,1
1,0,34,3,5,3,0,1,7,0
1,1,49,1,7,11,0,1,8,1
1,0,46,1,12,8,0,1,4,1
1,0,38,3,5,7,0,1,8,3
1,1,26,2,2,0,0,1,7,1
1,0,64,3,4,17,0,1,6,0
1,1,30,4,1,1,0,1,20,0
0,0,23,2,1,1,0,1,5,1
0,0,21,3,1,2,0,1,14,0
1,1,102,7,11,19,0,1,8,0
0,1,71,7,12,7,0,1,10,0
1,1,39,4,2,0,0,1,24,2
1,1,56,6,4,3,0,1,6,1
1,1,31,4,2,3,0,1,10,0
1,0,27,1,1,8,0,1,11,2
0,0,16,3,0,0,0,1,8,0
1,1,135,6,12,21,0,1,13,1
0,0,14,1,5,0,0,1,10,1
1,1,22,3,2,0,0,1,9,1
0,0,7,1,1,0,0,1,9,1
1,1,39,4,3,0,0,1,9,1
0,0,24,3,4,5,0,1,9,1
1,0,35,2,1,1,0,1,9,0
0,1,31,6,1,3,0,1,42,2
0,0,112,9,14,1,0,1,5,1
0,1,17,2,1,0,0,1,2,0
0,0,32,3,6,5,0,1,15,1
1,0,11,2,1,0,0,1,10,1
0,1,145,10,6,7,0,1,15,1
1,0,13,1,1,3,0,1,5,0
0,0,15,1,2,0,0,1,3,0
0,0,29,3,4,4,0,1,5,1
1,1,33,6,4,2,0,1,11,1
0,0,22,3,2,1,0,1,7,1
0,0,50,5,7,5,0,1,7,1
1,1,38,3,6,5,0,1,9,0
1,1,16,1,2,1,0,1,10,2
1,0,16,2,2,0,0,1,9,1
1,0,28,3,2,2,0,1,8,1
1,1,17,4,0,1,0,1,6,1
0,0,14,2,0,2,0,1,34,1
0,1,29,5,2,5,0,1,10,0
1,0,58,8,2,3,0,1,9,1
1,0,11,2,2,0,0,1,7,0
0,1,33,3,7,0,0,1,8,0
1,0,82,6,7,17,0,1,8,1
1,0,32,2,9,2,0,1,10,1
1,0,89,7,5,3,0,1,5,1
0,0,14,2,1,1,0,1,8,1
1,0,11,1,4,0,0,1,7,0
0,0,48,10,1,7,0,1,32,1
1,1,57,4,1,1,0,1,4,0
0,0,126,3,6,40,0,1,11,1
1,0,57,4,11,2,0,1,6,1
0,1,112,10,14,3,0,1,7,0
1,1,72,8,6,1,0,1,42,3
0,0,17,2,1,8,0,1,14,3
0,0,35,2,5,3,0,1,9,0
1,0,63,6,5,10,0,1,14,0
1,1,27,3,3,4,0,1,9,1
1,1,85,15,7,14,0,1,29,2
0,1,30,3,0,4,0,1,34,1
0,0,13,1,1,0,0,1,5,1
1,0,16,2,1,1,0,1,21,1
1,1,12,2,3,0,0,1,8,0
1,1,19,2,5,2,0,1,7,0
0,0,28,1,8,0,0,1,9,1
1,0,61,4,9,1,0,1,8,1
0,1,23,4,1,0,0,1,15,1
0,0,7,1,0,0,0,1,12,1
1,0,21,3,3,3,0,1,22,2
1,1,38,2,5,2,0,1,5,0
1,1,102,4,11,16,0,1,27,2
0,1,15,2,1,1,0,1,10,1
1,0,11,1,3,1,0,1,6,1
0,1,28,4,2,6,0,1,6,1
1,0,61,4,9,5,0,1,10,0
0,1,13,1,2,0,0,1,70,3
0,0,23,3,2,5,0,1,13,0
0,0,10,2,0,0,0,1,6,0
